Vedenie,Čislo stožiara,Druh stožiara,Typ 2,Typ stožiara,Súradnica X,Súradnica Y,Súradnica Z,Vybavenie,Napäťová úroveň,Prevádzkový stav,Snímače IOT typ 1,Snímače IOT typ 2,Poznámka
V406,170,N,Stožiar-jednoduchý,Portál,1194330.8000,393388.1900,600.670,1014773,400 kV,V prevádzke,3,2,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V406,171,Nv,Stožiar-jednoduchý,Kotevný V,1194236.7100,393088.7600,608.000,1014774,400 kV,V prevádzke,6,2,Osadenie maximálneho počtu snímačov vždy na jeden stožiar pre potreby stanovenia podrobnejšieho matematického modelu a získania všetkých podrobných informácií a meraní a ich umiestnenia na danom type stožiara (navrhujeme osadiť 2 stožiare vzhľadom na lokalitu)
V406,172,Nv,Stožiar-jednoduchý,Kotevný V,1194158.9100,392840.1100,592.030,1014775,400 kV,V prevádzke,3,2,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V406,173,RV(I),Stožiar-jednoduchý,Portál,1194071.7800,392563.4300,572.700,1014776,400 kV,V prevádzke,3,2,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín 
V406,174,Ns,Stožiar-jednoduchý,Portál,1194073.9200,392302.7300,574.240,1014777,400 kV,V prevádzke,6,2,Osadenie maximálneho počtu snímačov vždy na jeden stožiar pre potreby stanovenia podrobnejšieho matematického modelu a získania všetkých podrobných informácií a meraní a ich umiestnenia na danom type stožiara (navrhujeme osadiť 2 stožiare vzhľadom na lokalitu)
V406,175,Nv,Stožiar-jednoduchý,Kotevný V,1194076.6600,391976.9400,598.310,1014778,400 kV,V prevádzke,3,2,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín 
V406,176,Nv,Stožiar-jednoduchý,Kotevný V,1194078.5000,391770.8700,611.310,1014779,400 kV,V prevádzke,3,2,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín 
V425,110,N+8,Stožiar-jednoduchý,Portál,1282341.9200,495867.9800,128.690,1015802,400 kV,V prevádzke,6,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V425,111,N+4,Stožiar-jednoduchý,Portál,1282240.6200,495477.8200,129.540,1015803,400 kV,V prevádzke,6,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V425,112,N+8,Stožiar-jednoduchý,Portál,1282141.5700,495096.4100,128.920,1015804,400 kV,V prevádzke,6,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V425,113,N+8,Stožiar-jednoduchý,Portál,1282032.5500,494676.5500,128.800,1015805,400 kV,V prevádzke,6,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V425,114,N+8,Stožiar-jednoduchý,Portál,1281931.0700,494286.0700,129.200,1015806,400 kV,V prevádzke,11,0,Osadenie maximálneho počtu snímačov vždy na jeden stožiar pre potreby stanovenia podrobnejšieho matematického modelu a získania všetkých podrobných informácií a meraní a ich umiestnenia na danom type stožiara
V479,65,N+6,Stožiar-dvojitý,Donau,1312096.9500,525585.3600,110.146,1068912,400 kV,V prevádzke,5,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V479,66,N+0,Stožiar-dvojitý,Donau,1312105.8400,525305.5000,109.184,1068913,400 kV,V prevádzke,5,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V479,67,N+12,Stožiar-dvojitý,Donau,1312115.6800,524995.6600,109.914,1068914,400 kV,V prevádzke,5,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V479,68,RV(III+3),Stožiar-dvojitý,Donau,1312127.0900,524636.1300,110.350,1068915,400 kV,V prevádzke,5,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V479,69,N+12,Stožiar-dvojitý,Donau,1311791.5900,524500.4000,110.640,1068916,400 kV,V prevádzke,5,0,Počet stanovený na základe tech. výkresov stožiara a pre potreby meraných (sledovaných) veličín
V479,70,RV(I+6),Stožiar-dvojitý,Donau,1311431.2200,524354.6000,110.603,1068917,400 kV,V prevádzke,8,0,Osadenie maximálneho počtu snímačov vždy na jeden stožiar pre potreby stanovenia podrobnejšieho matematického modelu a získania všetkých podrobných informácií a meraní a ich umiestnenia na danom type stožiara

